sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
R11_1_P2C2	15552	12661	81.41	12551	12533	80.59
R11_1_P3C3	19312	19312	100	19136	19106	98.93
R3_1_P2C2	23560	19428	82.46	19349	19349	82.13
R3_1_P3C3	30393	30393	100	30292	30292	99.67
R3_2_P2C2	22000	18076	82.16	17911	17891	81.32
R3_2_P3C3	27068	27067	100	26821	26799	99.01
R3_3_P2C2	14134	11596	82.04	11565	11517	81.48
R3_3_P3C3	18488	18488	100	18449	18371	99.37
R9_1_P2C2	24092	19828	82.3	19644	19644	81.54
R9_1_P3C3	31488	31485	99.99	31228	31157	98.95
R9_1B_P2C2	22120	18110	81.87	17892	17892	80.89
R9_1B_P3C3	27702	27700	99.99	27479	27477	99.19
R9_2_P2C2	18284	15066	82.4	14934	14917	81.58
R9_2_P3C3	24303	24303	100	24087	24032	98.88
R9_3_P2C2	15698	12962	82.57	12663	12656	80.62
R9_3_P3C3	21332	21331	100	20927	20912	98.03
R9_4_P2C2	11978	9930	82.9	9683	9683	80.84
R9_4_P3C3	14904	14904	100	14652	14652	98.31
